나이,성별,지역,,
20대,여성,"홍대, 합정, 상수, 연남, 강남, 삼성, 신촌, 연희, 신사, 압구정",,
20대,여성,"강남, 신사, 을지로, 성수, 왕십리, 서울숲, 송파, 잠실, 이태원, 성신여대",,
20대,여성,"강남, 역삼, 삼성, 신사, 논현, 청담, 압구정, 명동, 을지로, 송파",,
20대,여성,"홍대, 합정, 상수, 연남, 연희, 상암, 명동, 을지로, 종로, 광화문, 용산, 불광",,
20대,여성,"연희, 성수, 서울숲, 영등포, 여의도, 종로, 용산, 건대, 성신여대, 쌍문",,
10대,여성,"홍대, 합정, 상수, 연남, 망원, 을지로, 성수, 서울숲, 잠실, 건대, 성신여대",,
20대,남성,"역삼, 신촌, 연희, 신사, 망원, 상암, 서초, 영등포, 문래, 광화문",,
50대,남성,"강남, 역삼, 삼성, 상암, 서초, 광화문, 마포, 고척, 불광, 목동",,
40대,여성,"신사, 논현, 청담, 압구정, 관악, 신림, 서울대입구, 고척, 불광, 연신내",,
20대,여성,"상수, 강남, 신촌, 연희, 이대, 방배, 을지로, 성수, 광화문, 대학로",,
20대,여성,"상수, 신촌, 신사, 서초, 교대, 명동, 을지로, 용산, 이태원, 한남",,
30대,남성,"합정, 상수, 연남, 망원, 왕십리, 문래, 광화문, 대학로, 송파, 용산, 쌍문, 목동",,
10대,남성,"역삼, 삼성, 방배, 명동, 왕십리, 여의도, 종로, 관악, 불광, 연신내",,
10대,남성,"홍대, 강남, 청담, 압구정, 성수, 서울숲, 잠실, 건대, 성신여대, 안암",,
40대,여성,"연남, 강남, 서초, 교대, 영등포, 광화문, 이태원, 한남, 불광, 연신내",,
30대,여성,"상수, 역삼, 삼성, 망원, 상암, 방이, 용산, 한남, 불광, 연신내",,
20대,여성,"홍대, 합정, 동대문, 성수, 왕십리, 서울숲, 건대, 성신여대, 안암, 목동",,
20대,남성,"연희, 이대, 논현, 서초, 교대, 왕십리, 여의도, 이태원, 신림, 은평",,
20대,여성,"홍대, 신촌, 연희, 압구정, 종로, 광화문, 대학로, 성신여대, 강북, 쌍문",,
30대,여성,"연희, 이대, 교대, 을지로, 종로, 대학로, 용산, 관악, 서울대입구, 안암",,
30대,남성,"신촌, 여의도, 문래, 종로, 이태원, 관악, 고척, 불광, 은평, 강북",,
20대,남성,"강남, 연희, 청담, 명동, 을지로, 동대문, 서울숲, 문래, 광화문, 대학로",,
20대,여성,"홍대, 합정, 상수, 영등포, 여의도, 종로, 광화문, 대학로, 신림, 건대",,
40대,여성,"강남, 역삼, 삼성, 서초, 교대, 명동, 영등포, 여의도, 광화문, 은평",,
50대,남성,"교대, 송파, 잠실, 방이, 관악, 신림, 서울대입구, 건대, 쌍문, 목동",,
50대,남성,"서초, 교대, 방배, 명동, 을지로, 종로, 광화문, 대학로, 신림, 서울대입구",,
10대,여성,"홍대, 연희, 이대, 신사, 명동, 을지로, 성수, 왕십리, 서울숲, 잠실",,
10대,남성,"강남, 역삼, 상암, 교대, 성수, 종로, 광화문, 송파, 잠실, 방이",,
30대,남성,"강남, 역삼, 삼성, 상암, 서초, 교대, 방배, 명동, 을지로, 건대, 연신내",,
20대,남성,"삼성, 연희, 이대, 논현, 청담, 압구정, 교대, 방배, 명동, 을지로",,
20대,남성,"이대, 신사, 논현, 청담, 압구정, 망원, 상암, 서초, 교대, 방배",,
40대,여성,"청담, 압구정, 교대, 방배, 종로, 광화문, 마포, 고척, 불광, 연신내",,
20대,여성,"신촌, 연희, 이대, 신사, 논현, 청담, 압구정, 망원, 상암, 서초",,
50대,남성,"논현, 청담, 압구정, 망원, 상암, 서초, 교대, 방배, 명동, 을지로",,
40대,남성,"강남, 명동, 문래, 관악, 신림, 서울대입구, 불광, 연신내, 은평, 강북",,
10대,남성,"삼성, 신촌, 연희, 이대, 신사, 논현, 청담, 압구정, 망원, 상암",,
10대,여성,"청담, 압구정, 망원, 상암, 서초, 교대, 방배, 명동, 을지로, 동대문",,
20대,남성,"홍대, 합정, 상수, 성수, 서울숲, 광화문, 대학로, 잠실, 이태원, 한남",,
20대,여성,"연남, 강남, 역삼, 삼성, 신촌, 연희, 이대, 신사, 논현, 청담",,
20대,남성,"삼성, 신촌, 연희, 이대, 신사, 논현, 청담, 압구정, 망원, 상암",,
20대,여성,"삼성, 신촌, 연희, 이대, 신사, 논현, 청담, 압구정, 망원, 상암",,
20대,남성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
20대,여성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
20대,남성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
10대,여성,"합정, 상수, 신촌, 압구정, 성수, 왕십리, 서울숲, 잠실, 건대, 성신여대",,
20대,여성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
50대,여성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
30대,남성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
50대,남성,"명동, 을지로, 동대문, 송파, 잠실, 방이, 관악, 신림, 마포, 고척",,
20대,여성,"홍대, 합정, 상수, 연남, 강남, 역삼, 삼성, 신촌, 연희, 이대",,
40대,여성,"홍대, 강남, 청담, 압구정, 상암, 서초, 방배, 명동, 을지로, 여의도",,
30대,여성,"강남, 역삼, 삼성, 명동, 을지로, 이태원, 한남, 마포, 고척, 불광",,
20대,여성,"홍대, 강남, 신사, 을지로, 동대문, 성수, 왕십리, 잠실, 건대, 성신여대",,
30대,남성,"홍대, 합정, 상수, 망원, 상암, 서초, 영등포, 여의도, 문래, 이태원",,
10대,여성,"홍대, 합정, 상수, 연남, 명동, 을지로, 송파, 잠실, 이태원, 한남",,
10대,남성,"강남, 역삼, 삼성, 신사, 압구정, 성수, 왕십리, 서울숲, 잠실, 건대",,
40대,남성,"역삼, 삼성, 신촌, 명동, 을지로, 동대문, 성수, 마포, 고척, 목동",,
40대,여성,"홍대, 역삼, 삼성, 을지로, 동대문, 여의도, 문래, 불광, 쌍문, 목동",,
50대,남성,"교대, 방배, 종로, 광화문, 관악, 신림, 마포, 고척, 불광, 은평",,
10대,남성,"신사, 논현, 청담, 종로, 광화문, 대학로, 용산, 이태원, 성신여대, 안암",,
10대,여성,"홍대, 합정, 상수, 연남, 청담, 성수, 서울숲, 영등포, 여의도, 이태원",,
10대,여성,"홍대, 신촌, 압구정, 망원, 여의도, 마포, 고척, 불광, 쌍문, 목동",,
10대,여성,"홍대, 합정, 강남, 역삼, 삼성, 을지로, 광화문, 대학로, 잠실, 한남",,
10대,남성,"홍대, 연남, 논현, 청담, 명동, 을지로, 동대문, 성수, 종로, 광화문",,
10대,여성,"홍대, 합정, 강남, 신촌, 이대, 교대, 왕십리, 건대, 성신여대, 안암",,
10대,여성,"홍대, 강남, 역삼, 서초, 교대, 성수, 잠실, 이태원, 강북, 쌍문",,
20대,여성,"신사, 논현, 성수, 왕십리, 서울숲, 송파, 잠실, 방이, 건대, 고척",,
